lb_nom_key,cd_nom_key,lb_cd_nom_key,regne_key,groupe,group1_inpn,code_espece_key,version_taxref,sortby
"Aaroniella <b><span style=""color:#02138e"">(nom valide)</span></b>",212088,Aaroniella!212088,Animalia,Insectes,Arthropodes,aar,15,1
"Abacarus <b><span style=""color:#02138e"">(nom valide)</span></b>",201833,Abacarus!201833,Animalia,Arachnides,Arthropodes,aba,15,2
"Abacetus <b><span style=""color:#02138e"">(nom valide)</span></b>",188660,Abacetus!188660,Animalia,Insectes,Arthropodes,aba,15,3
"Abacoproeces <b><span style=""color:#02138e"">(nom valide)</span></b>",202360,Abacoproeces!202360,Animalia,Arachnides,Arthropodes,aba,15,4
"Abax <b><span style=""color:#02138e"">(nom valide)</span></b>",188661,Abax!188661,Animalia,Insectes,Arthropodes,aba,15,5
"Abdera <b><span style=""color:#02138e"">(nom valide)</span></b>",188662,Abdera!188662,Animalia,Insectes,Arthropodes,abd,15,6
"Abemus <b><span style=""color:#02138e"">(nom valide)</span></b>",205435,Abemus!205435,Animalia,Insectes,Arthropodes,abe,15,7
"Abgrallaspis <b><span style=""color:#02138e"">(nom valide)</span></b>",437684,Abgrallaspis!437684,Animalia,Insectes,Arthropodes,abg,15,8
"Abia <b><span style=""color:#02138e"">(nom valide)</span></b>",188663,Abia!188663,Animalia,Insectes,Arthropodes,abi,15,9
"Abida <b><span style=""color:#02138e"">(nom valide)</span></b>",188664,Abida!188664,Animalia,Gastéropodes,Mollusques,abi,15,10
"Ablabesmyia <b><span style=""color:#02138e"">(nom valide)</span></b>",188667,Ablabesmyia!188667,Animalia,Insectes,Arthropodes,abl,15,11
"Ablattaria <b><span style=""color:#02138e"">(nom valide)</span></b>",188668,Ablattaria!188668,Animalia,Insectes,Arthropodes,abl,15,12
"Ablaxia <b><span style=""color:#02138e"">(nom valide)</span></b>",208654,Ablaxia!208654,Animalia,Insectes,Arthropodes,abl,15,13
"Ablerus <b><span style=""color:#02138e"">(nom valide)</span></b>",208199,Ablerus!208199,Animalia,Insectes,Arthropodes,abl,15,14
"Abludogammarus <b><span style=""color:#02138e"">(nom valide)</span></b>",950277,Abludogammarus!950277,Animalia,Crustacés,Arthropodes,abl,15,15
"Abludomelita <b><span style=""color:#02138e"">(nom valide)</span></b>",352735,Abludomelita!352735,Animalia,Crustacés,Arthropodes,abl,15,16
"Abra <b><span style=""color:#02138e"">(nom valide)</span></b>",188672,Abra!188672,Animalia,Bivalves,Mollusques,abr,15,17
"Abrachyglossum <b><span style=""color:#02138e"">(nom valide)</span></b>",205666,Abrachyglossum!205666,Animalia,Insectes,Arthropodes,abr,15,18
"Abraeus <b><span style=""color:#02138e"">(nom valide)</span></b>",204914,Abraeus!204914,Animalia,Insectes,Arthropodes,abr,15,19
"Abraliopsis <b><span style=""color:#02138e"">(nom valide)</span></b>",358627,Abraliopsis!358627,Animalia,Céphalopodes,Mollusques,abr,15,20
"Abramis <b><span style=""color:#02138e"">(nom valide)</span></b>",188673,Abramis!188673,Animalia,Poissons,Chordés,abr,15,21
"Abraxas <b><span style=""color:#02138e"">(nom valide)</span></b>",210517,Abraxas!210517,Animalia,Insectes,Arthropodes,abr,15,22
"Abrolophus <b><span style=""color:#02138e"">(nom valide)</span></b>",201622,Abrolophus!201622,Animalia,Arachnides,Arthropodes,abr,15,23
"Abromus <b><span style=""color:#02138e"">(nom valide)</span></b>",203824,Abromus!203824,Animalia,Insectes,Arthropodes,abr,15,24
"Abrostola <b><span style=""color:#02138e"">(nom valide)</span></b>",211184,Abrostola!211184,Animalia,Insectes,Arthropodes,abr,15,25
"Absyrtus <b><span style=""color:#02138e"">(nom valide)</span></b>",209744,Absyrtus!209744,Animalia,Insectes,Arthropodes,abs,15,26
"Abudefduf <b><span style=""color:#02138e"">(nom valide)</span></b>",188677,Abudefduf!188677,Animalia,Poissons,Chordés,abu,15,27
"Abyssorchomene <b><span style=""color:#02138e"">(nom valide)</span></b>",354435,Abyssorchomene!354435,Animalia,Crustacés,Arthropodes,aby,15,28
"Acaenitus <b><span style=""color:#02138e"">(nom valide)</span></b>",209760,Acaenitus!209760,Animalia,Insectes,Arthropodes,aca,15,29
"Acaenomolgus <b><span style=""color:#02138e"">(nom valide)</span></b>",356862,Acaenomolgus!356862,Animalia,Crustacés,Arthropodes,aca,15,30
"Acaeroplastes <b><span style=""color:#02138e"">(nom valide)</span></b>",202737,Acaeroplastes!202737,Animalia,Crustacés,Arthropodes,aca,15,31
"Acalitus <b><span style=""color:#02138e"">(nom valide)</span></b>",201848,Acalitus!201848,Animalia,Arachnides,Arthropodes,aca,15,32
"Acalles <b><span style=""color:#02138e"">(nom valide)</span></b>",188681,Acalles!188681,Animalia,Insectes,Arthropodes,aca,15,33
"Acallocrates <b><span style=""color:#02138e"">(nom valide)</span></b>",188682,Acallocrates!188682,Animalia,Insectes,Arthropodes,aca,15,34
"Acalypta <b><span style=""color:#02138e"">(nom valide)</span></b>",188684,Acalypta!188684,Animalia,Insectes,Arthropodes,aca,15,35
"Acalyptris <b><span style=""color:#02138e"">(nom valide)</span></b>",210766,Acalyptris!210766,Animalia,Insectes,Arthropodes,aca,15,36
"Acalyptus <b><span style=""color:#02138e"">(nom valide)</span></b>",188685,Acalyptus!188685,Animalia,Insectes,Arthropodes,aca,15,37
"Acampsis <b><span style=""color:#02138e"">(nom valide)</span></b>",209010,Acampsis!209010,Animalia,Insectes,Arthropodes,aca,15,38
"Acamptocladius <b><span style=""color:#02138e"">(nom valide)</span></b>",206539,Acamptocladius!206539,Animalia,Insectes,Arthropodes,aca,15,39
"Acanosema <b><span style=""color:#02138e"">(nom valide)</span></b>",209904,Acanosema!209904,Animalia,Insectes,Arthropodes,aca,15,40
"Acanthaclisis <b><span style=""color:#02138e"">(nom valide)</span></b>",211750,Acanthaclisis!211750,Animalia,Insectes,Arthropodes,aca,15,41
"Acantharctus <b><span style=""color:#02138e"">(nom valide)</span></b>",529767,Acantharctus!529767,Animalia,Crustacés,Arthropodes,aca,15,42
"Acanthephyra <b><span style=""color:#02138e"">(nom valide)</span></b>",349936,Acanthephyra!349936,Animalia,Crustacés,Arthropodes,aca,15,43
"Acanthinula <b><span style=""color:#02138e"">(nom valide)</span></b>",188690,Acanthinula!188690,Animalia,Gastéropodes,Mollusques,aca,15,44
"Acanthiophilus <b><span style=""color:#02138e"">(nom valide)</span></b>",206127,Acanthiophilus!206127,Animalia,Insectes,Arthropodes,aca,15,45
"Acanthis <b><span style=""color:#02138e"">(nom valide)</span></b>",886228,Acanthis!886228,Animalia,Oiseaux,Chordés,aca,15,46
"Acanthobodilus <b><span style=""color:#02138e"">(nom valide)</span></b>",200272,Acanthobodilus!200272,Animalia,Insectes,Arthropodes,aca,15,47
"Acanthocardia <b><span style=""color:#02138e"">(nom valide)</span></b>",188694,Acanthocardia!188694,Animalia,Bivalves,Mollusques,aca,15,48
"Acanthochermes <b><span style=""color:#02138e"">(nom valide)</span></b>",208014,Acanthochermes!208014,Animalia,Insectes,Arthropodes,aca,15,49
"Acanthochitona <b><span style=""color:#02138e"">(nom valide)</span></b>",188696,Acanthochitona!188696,Animalia,Autres,Mollusques,aca,15,50
"Acanthochondria <b><span style=""color:#02138e"">(nom valide)</span></b>",356518,Acanthochondria!356518,Animalia,Crustacés,Arthropodes,aca,15,51
"Acanthocinus <b><span style=""color:#02138e"">(nom valide)</span></b>",188697,Acanthocinus!188697,Animalia,Insectes,Arthropodes,aca,15,52
"Acanthocnema <b><span style=""color:#02138e"">(nom valide)</span></b>",205891,Acanthocnema!205891,Animalia,Insectes,Arthropodes,aca,15,53
"Acanthocnemus <b><span style=""color:#02138e"">(nom valide)</span></b>",203796,Acanthocnemus!203796,Animalia,Insectes,Arthropodes,aca,15,54
"Acanthococcus <b><span style=""color:#02138e"">(nom valide)</span></b>",207918,Acanthococcus!207918,Animalia,Insectes,Arthropodes,aca,15,55
"Acanthocope <b><span style=""color:#02138e"">(nom valide)</span></b>",355954,Acanthocope!355954,Animalia,Crustacés,Arthropodes,aca,15,56
"Acanthocreagris <b><span style=""color:#02138e"">(nom valide)</span></b>",201037,Acanthocreagris!201037,Animalia,Arachnides,Arthropodes,aca,15,57
"Acanthocybium <b><span style=""color:#02138e"">(nom valide)</span></b>",188698,Acanthocybium!188698,Animalia,Poissons,Chordés,aca,15,58
"Acanthocyclops <b><span style=""color:#02138e"">(nom valide)</span></b>",188699,Acanthocyclops!188699,Animalia,Crustacés,Arthropodes,aca,15,59
"Acanthodelphax <b><span style=""color:#02138e"">(nom valide)</span></b>",206952,Acanthodelphax!206952,Animalia,Insectes,Arthropodes,aca,15,60
"Acanthodiaptomus <b><span style=""color:#02138e"">(nom valide)</span></b>",188702,Acanthodiaptomus!188702,Animalia,Crustacés,Arthropodes,aca,15,61
"Acanthodoris <b><span style=""color:#02138e"">(nom valide)</span></b>",188703,Acanthodoris!188703,Animalia,Gastéropodes,Mollusques,aca,15,62
"Acanthogethes <b><span style=""color:#02138e"">(nom valide)</span></b>",793432,Acanthogethes!793432,Animalia,Insectes,Arthropodes,aca,15,63
"Acantholabrus <b><span style=""color:#02138e"">(nom valide)</span></b>",188704,Acantholabrus!188704,Animalia,Poissons,Chordés,aca,15,64
"Acantholeberis <b><span style=""color:#02138e"">(nom valide)</span></b>",202594,Acantholeberis!202594,Animalia,Crustacés,Arthropodes,aca,15,65
"Acantholeria <b><span style=""color:#02138e"">(nom valide)</span></b>",205749,Acantholeria!205749,Animalia,Insectes,Arthropodes,aca,15,66
"Acantholyda <b><span style=""color:#02138e"">(nom valide)</span></b>",210089,Acantholyda!210089,Animalia,Insectes,Arthropodes,aca,15,67
"Acanthomenia <b><span style=""color:#02138e"">(nom valide)</span></b>",928777,Acanthomenia!928777,Animalia,Autres,Mollusques,aca,15,68
"Acanthomunna <b><span style=""color:#02138e"">(nom valide)</span></b>",355932,Acanthomunna!355932,Animalia,Crustacés,Arthropodes,aca,15,69
"Acanthomysis <b><span style=""color:#02138e"">(nom valide)</span></b>",352786,Acanthomysis!352786,Animalia,Crustacés,Arthropodes,aca,15,70
"Acanthonyx <b><span style=""color:#02138e"">(nom valide)</span></b>",349875,Acanthonyx!349875,Animalia,Crustacés,Arthropodes,aca,15,71
"Acanthophthirius <b><span style=""color:#02138e"">(nom valide)</span></b>",931497,Acanthophthirius!931497,Animalia,Arachnides,Arthropodes,aca,15,72
"Acanthopsyche <b><span style=""color:#02138e"">(nom valide)</span></b>",211442,Acanthopsyche!211442,Animalia,Insectes,Arthropodes,aca,15,73
"Acanthoscelides <b><span style=""color:#02138e"">(nom valide)</span></b>",203725,Acanthoscelides!203725,Animalia,Insectes,Arthropodes,aca,15,74
"Acanthosoma <b><span style=""color:#02138e"">(nom valide)</span></b>",188712,Acanthosoma!188712,Animalia,Insectes,Arthropodes,aca,15,75
"Acanthothrips <b><span style=""color:#02138e"">(nom valide)</span></b>",212269,Acanthothrips!212269,Animalia,Insectes,Arthropodes,aca,15,76
"Acanthothrombium <b><span style=""color:#02138e"">(nom valide)</span></b>",987986,Acanthothrombium!987986,Animalia,Arachnides,Arthropodes,aca,15,77
"Acanthurus <b><span style=""color:#02138e"">(nom valide)</span></b>",188718,Acanthurus!188718,Animalia,Poissons,Chordés,aca,15,78
"Acarapis <b><span style=""color:#02138e"">(nom valide)</span></b>",201915,Acarapis!201915,Animalia,Arachnides,Arthropodes,aca,15,79
"Acar <b><span style=""color:#02138e"">(nom valide)</span></b>",460147,Acar!460147,Animalia,Bivalves,Mollusques,aca,15,80
"Acarochelopodia <b><span style=""color:#02138e"">(nom valide)</span></b>",352701,Acarochelopodia!352701,Animalia,Arachnides,Arthropodes,aca,15,81
"Acaromantis <b><span style=""color:#02138e"">(nom valide)</span></b>",352710,Acaromantis!352710,Animalia,Arachnides,Arthropodes,aca,15,82
"Acaronemus <b><span style=""color:#02138e"">(nom valide)</span></b>",201911,Acaronemus!201911,Animalia,Arachnides,Arthropodes,aca,15,83
"Acartauchenius <b><span style=""color:#02138e"">(nom valide)</span></b>",188723,Acartauchenius!188723,Animalia,Arachnides,Arthropodes,aca,15,84
"Acartia <b><span style=""color:#02138e"">(nom valide)</span></b>",188724,Acartia!188724,Animalia,Crustacés,Arthropodes,aca,15,85
"Acartophthalmus <b><span style=""color:#02138e"">(nom valide)</span></b>",959725,Acartophthalmus!959725,Animalia,Insectes,Arthropodes,aca,15,86
"Acasis <b><span style=""color:#02138e"">(nom valide)</span></b>",210493,Acasis!210493,Animalia,Insectes,Arthropodes,aca,15,87
"Acasta <b><span style=""color:#02138e"">(nom valide)</span></b>",188726,Acasta!188726,Animalia,Crustacés,Arthropodes,aca,15,88
"Acaudinum <b><span style=""color:#02138e"">(nom valide)</span></b>",207799,Acaudinum!207799,Animalia,Insectes,Arthropodes,aca,15,89
"Accanthopus <b><span style=""color:#02138e"">(nom valide)</span></b>",793449,Accanthopus!793449,Animalia,Insectes,Arthropodes,acc,15,90
"Accipiter <b><span style=""color:#02138e"">(nom valide)</span></b>",188728,Accipiter!188728,Animalia,Oiseaux,Chordés,acc,15,91
"Acemya <b><span style=""color:#02138e"">(nom valide)</span></b>",205974,Acemya!205974,Animalia,Insectes,Arthropodes,ace,15,92
"Acentra <b><span style=""color:#02138e"">(nom valide)</span></b>",211444,Acentra!211444,Animalia,Insectes,Arthropodes,ace,15,93
"Acentrella <b><span style=""color:#02138e"">(nom valide)</span></b>",188729,Acentrella!188729,Animalia,Insectes,Arthropodes,ace,15,94
"Acentria <b><span style=""color:#02138e"">(nom valide)</span></b>",214831,Acentria!214831,Animalia,Insectes,Arthropodes,ace,15,95
"Acentrotypus <b><span style=""color:#02138e"">(nom valide)</span></b>",204022,Acentrotypus!204022,Animalia,Insectes,Arthropodes,ace,15,96
"Acentrus <b><span style=""color:#02138e"">(nom valide)</span></b>",188730,Acentrus!188730,Animalia,Insectes,Arthropodes,ace,15,97
"Aceratoneuromyia <b><span style=""color:#02138e"">(nom valide)</span></b>",208391,Aceratoneuromyia!208391,Animalia,Insectes,Arthropodes,ace,15,98
"Acerella <b><span style=""color:#02138e"">(nom valide)</span></b>",203245,Acerella!203245,Animalia,Entognathes,Arthropodes,ace,15,99
"Acerentomon <b><span style=""color:#02138e"">(nom valide)</span></b>",203256,Acerentomon!203256,Animalia,Entognathes,Arthropodes,ace,15,100
"Acerentulus <b><span style=""color:#02138e"">(nom valide)</span></b>",203248,Acerentulus!203248,Animalia,Entognathes,Arthropodes,ace,15,101
"Aceria <b><span style=""color:#02138e"">(nom valide)</span></b>",201816,Aceria!201816,Animalia,Arachnides,Arthropodes,ace,15,102
"Acericecis <b><span style=""color:#02138e"">(nom valide)</span></b>",206388,Acericecis!206388,Animalia,Insectes,Arthropodes,ace,15,103
"Acericerus <b><span style=""color:#02138e"">(nom valide)</span></b>",206769,Acericerus!206769,Animalia,Insectes,Arthropodes,ace,15,104
"Acerophagus <b><span style=""color:#02138e"">(nom valide)</span></b>",699745,Acerophagus!699745,Animalia,Insectes,Arthropodes,ace,15,105
"Acesta <b><span style=""color:#02138e"">(nom valide)</span></b>",354122,Acesta!354122,Animalia,Bivalves,Mollusques,ace,15,106
"Acetropis <b><span style=""color:#02138e"">(nom valide)</span></b>",207153,Acetropis!207153,Animalia,Insectes,Arthropodes,ace,15,107
"Achaeridion <b><span style=""color:#02138e"">(nom valide)</span></b>",784323,Achaeridion!784323,Animalia,Arachnides,Arthropodes,ach,15,108
"Achaeus <b><span style=""color:#02138e"">(nom valide)</span></b>",349876,Achaeus!349876,Animalia,Crustacés,Arthropodes,ach,15,109
"Achaius <b><span style=""color:#02138e"">(nom valide)</span></b>",209650,Achaius!209650,Animalia,Insectes,Arthropodes,ach,15,110
